gene	probeID	logFC	AveExpr	t	P.Value	adj.P.Val	B
INTS12	TC0400011518.hg.1	7.1752560933431	16.6198029518127	22.0110059682994	3.57701987820546e-08	0.00496293623001617	7.27076190818793
AF065393.4	TCUn_KI270752v100006432.hg.1	7.75267855326335	10.2531988620758	19.7073798425271	8.19702080269984e-08	0.00568647825635294	6.90987750633132
Y_RNA	TC0600007483.hg.1	4.01259326934815	17.8769359588623	17.1802895253818	2.28435365988951e-07	0.010564754951379	6.39600979402648
Y_RNA	TC0X00010001.hg.1	3.91361792882284	13.7504765987396	14.6927170924997	7.28915294116033e-07	0.0249958595527732	5.72161153079919
ZNF92	TC0700007807.hg.1	-3.09988768895467	5.84422588348389	-13.378312051689	1.45343280059058e-06	0.0249958595527732	5.27425577969671
PRRC2A	TC0600007599.hg.1	-4.13127104441325	5.96665066480637	-13.3576313182338	1.47003051195442e-06	0.0249958595527732	5.26661311586406
TNPO3	TC0700012555.hg.1	-3.5852640469869	7.23273915052414	-13.2754084281617	1.53816496981625e-06	0.0249958595527732	5.2360286605373
SETD5	TC0300006544.hg.1	-3.36185598373413	6.34958016872406	-12.7655678460686	2.04921466905641e-06	0.0249958595527732	5.03907194082974
Y_RNA	TC1100012226.hg.1	3.40107456843058	13.641404747963	12.6200540386125	2.22836607196541e-06	0.0249958595527732	4.98045973125353
RPN2	TC2000007277.hg.1	-3.71029551823934	8.36996322870255	-12.4019608462544	2.53086438847487e-06	0.0249958595527732	4.89052692045909
TPMT	TC0600010960.hg.1	-3.14669450124105	6.49176400899887	-12.3625000315456	2.5903979873741e-06	0.0249958595527732	4.87398190878842
HPRT1	TC0X00011326.hg.1	-3.3014505704244	6.27324962615967	-12.0053737309726	3.20712055857913e-06	0.0249958595527732	4.72031953473995
ZNF780A	TSUnmapped00000670.hg.1	-3.12081559499105	6.32657730579376	-11.9883397792803	3.24042322616947e-06	0.0249958595527732	4.71280967149286
UBE2L4	TC1900006948.hg.1	3.65927044550578	15.3390976190567	11.9853449891147	3.24631839282469e-06	0.0249958595527732	4.71148760672084
Y_RNA	TC1400009398.hg.1	2.97431246439616	16.0184624195099	11.6496802294188	3.99045848585793e-06	0.0249958595527732	4.5599600330751
HIBCH	TC0200015225.hg.1	-3.64091030756632	6.80627530813217	-11.5035332549139	4.37301795651995e-06	0.0249958595527732	4.49185892043172
starsmo	TC1700010414.hg.1	3.48500919342042	17.3000750541687	11.3949248748955	4.68407761268588e-06	0.0249958595527732	4.44038795784313
Y_RNA	TSUnmapped00000543.hg.1	2.94746327400208	8.89469033479691	11.0612768344694	5.80671278672222e-06	0.0263562752485877	4.27752493769504
doysaw	TC1800008660.hg.1	-3.61238741874695	4.86388662457466	-11.0579049699342	5.81950606353569e-06	0.0263562752485877	4.27584163677426
ZNF780A	TSUnmapped00000222.hg.1	-3.03517293930053	6.3752247095108	-11.0102266512506	6.00383696454457e-06	0.0263562752485877	4.25195793063792
ENTPD6	TC2000007012.hg.1	-3.18285314242045	5.09177896380424	-10.8212410812182	6.80189605628329e-06	0.0271365043317597	4.1557668647293
PSPHP1	TC0700007623.hg.1	-3.10331869125366	9.87430846691132	-10.811645042574	6.84549102030048e-06	0.0271365043317597	4.15081692012345
EXTL2	TC0100015079.hg.1	-2.31632288297017	4.88446819782257	-10.6666059123978	7.54415473228744e-06	0.0278828111400219	4.07521355840726
PDE12	TC0300007579.hg.1	-4.38846906026204	5.56650748848915	-10.4510909420667	8.73524940323874e-06	0.0278828111400219	3.96009044461525
slawstorby	TC0500012062.hg.1	-2.89321517944336	5.06251603364944	-10.4359251248146	8.82671363920766e-06	0.0278828111400219	3.95186134714194
GPN2	TC0100013408.hg.1	-3.33304309844971	5.53127047419548	-10.2871699321436	9.78319267703755e-06	0.0278828111400219	3.87023591403231
TEN1	TC1700008929.hg.1	-2.46116288503011	4.98581939935684	-10.1981026040835	1.04113447192922e-05	0.0278828111400219	3.82056152187764
Y_RNA	TC1400008851.hg.1	5.24755875269572	14.6849702596664	10.1974744892844	1.041593243834e-05	0.0278828111400219	3.82020905312016
ZNF780A	TSUnmapped00000311.hg.1	-2.97439233462016	5.82176774740219	-10.1764620175688	1.05707223888152e-05	0.0278828111400219	3.8084003088616
MYO10	TC0500010203.hg.1	-3.30684677759806	5.96450054645538	-10.1419172806017	1.08308445808289e-05	0.0278828111400219	3.7889124134403
AAMP	TC0200015720.hg.1	-2.4519993464152	5.63398891687393	-10.1405114785019	1.08415814429027e-05	0.0278828111400219	3.78811739158508
MON1B	TC1600011432.hg.1	-2.58841824531555	4.3803748190403	-10.1360229808326	1.08759425658236e-05	0.0278828111400219	3.78557798787782
FANCC	TC0900010878.hg.1	-2.88899397850037	5.63998401165009	-10.1229104136759	1.09770265183096e-05	0.0278828111400219	3.77815046937615
EIF4ENIF1	TC2200008482.hg.1	-3.22446250915527	5.36769464612007	-10.1000122317676	1.115608648933e-05	0.0278828111400219	3.76514781337947
BCAP31	TC0X00011168.hg.1	-4.91095240910848	9.05480307340622	-9.92089396175399	1.2675558814605e-05	0.0283814101884705	3.66200880291865
KIAA1033	TC1200008706.hg.1	-4.0167646408081	7.06923931837082	-9.88788562187829	1.29802124090111e-05	0.0283814101884705	3.64272236317416
ZBTB11	TC0300011859.hg.1	-3.53244503339132	4.93290284276009	-9.8697022185309	1.31515427787662e-05	0.0283814101884705	3.63206032824417
SH3TC2	TC0500013385.hg.1	-2.40859309832255	5.17406922578812	-9.82744305898555	1.35596133746441e-05	0.0283814101884705	3.60717735786842
MIR6511A3	TC1600011488.hg.1	-2.65494132041931	5.40730625391006	-9.8027198689101	1.38049277436252e-05	0.0283814101884705	3.59255224231817
Y_RNA	TC1100010045.hg.1	5.55701812108358	13.2262305021286	9.77221437990537	1.41145072111029e-05	0.0283814101884705	3.57443739389221
CEP164	TC1100009175.hg.1	-2.70039574305216	5.95491689443588	-9.73561432901208	1.44962631392551e-05	0.0287326289893707	3.55260208937123
IFRD2	TC0300013981.hg.1	-3.0835235118866	5.30038642883301	-9.65708947442	1.53550416392112e-05	0.0295893785032271	3.50537868988924
VCP	TC0900009929.hg.1	-3.57348203659057	7.28930181264877	-9.6124522924858	1.58685710247509e-05	0.0296498612343632	3.47830400118829
TADA3	TC0300010209.hg.1	-2.45438226064046	6.93009972572327	-9.59896292120199	1.60275295872085e-05	0.0296498612343632	3.47008887025533
EGFR	TC0700007596.hg.1	-3.44452873865763	5.16077488660812	-9.54916525273711	1.66300053737606e-05	0.0297629659530359	3.43962767342056
PLK4	TC0400008664.hg.1	-3.9809759457906	5.99498724937439	-9.47080884462839	1.76301266225414e-05	0.0297629659530359	3.39126672874046
ZNF708	TC1900011919.hg.1	-2.85803127288818	6.61358296871185	-9.46591163995506	1.76948380014666e-05	0.0297629659530359	3.38822661146614
ARHGEF39	TC0900009948.hg.1	-2.94795989990234	4.33554264903069	-9.4632773027226	1.77297581369817e-05	0.0297629659530359	3.38659039056013
Y_RNA	TC1900009438.hg.1	4.509778658549	15.2646207809448	9.44677172913218	1.79503191020946e-05	0.0297629659530359	3.37632484437673
EIF2AK4	TC1500006930.hg.1	-3.19261026382446	6.90924870967865	-9.424184659969	1.8257149384499e-05	0.0297629659530359	3.36223850884713
PUM1	TC0100013548.hg.1	-3.20879602432251	5.9635249376297	-9.40143962429657	1.85720813385272e-05	0.0297629659530359	3.34800862098225
AC005702.1	TC1700011300.hg.1	-4.45902840296427	7.04081720113754	-9.39808830345136	1.86189972100205e-05	0.0297629659530359	3.34590811692406
FCF1P2	TC0300011015.hg.1	-2.37467805544535	4.97387957572937	-9.37112916285867	1.9001275798328e-05	0.0297629659530359	3.32897507124952
HAUS8	TC1900009943.hg.1	-3.43252078692118	4.65507015585899	-9.33406418411821	1.95413034411505e-05	0.0297629659530359	3.30558992729877
KIF4A	TC0X00007537.hg.1	-2.81605037053426	6.37293213605881	-9.32729886828696	1.96417182211572e-05	0.0297629659530359	3.30130841129884
APMAP	TC2000008721.hg.1	-4.12889146804809	5.78679662942886	-9.3158841844876	1.98124558708551e-05	0.0297629659530359	3.29407527181201
CU463998.2	TC2200007842.hg.1	-4.19776439666748	6.06500953435898	-9.27841052922625	2.03847833834414e-05	0.0297629659530359	3.27024777761936
Y_RNA	TC0200010468.hg.1	2.65330378214519	17.2755217552185	9.24981640283346	2.0833971287422e-05	0.0297629659530359	3.25198182617949
MAP1B	TC0500007738.hg.1	10.1201217969259	11.4200983047485	9.23621698397415	2.10514912552409e-05	0.0297629659530359	3.24326873574025
PDHB	TC0300011306.hg.1	-3.31522385279337	5.73613661527634	-9.2345672275891	2.10780514896157e-05	0.0297629659530359	3.2422106111952
PUF60	TC0800012167.hg.1	-3.14265855153402	7.84971439838409	-9.23124401332464	2.11316676643928e-05	0.0297629659530359	3.24007841562769
AMBRA1	TC1100010705.hg.1	-2.12547945976257	5.91349083185196	-9.20555574051351	2.15513145501755e-05	0.0297629659530359	3.22356301362607
RP11-680A11.5	TC1200010797.hg.1	-2.27667911847432	4.34263673424721	-9.18339128919643	2.19209124900467e-05	0.0297629659530359	3.2092651205256
TIAF1	TC1700010230.hg.1	-3.69450887044271	6.22252726554871	-9.17974685513318	2.19823619025427e-05	0.0297629659530359	3.20690989110193
AC005702.2	TC1700011303.hg.1	-5.13350756963094	6.99495673179626	-9.17432417467074	2.20741523189317e-05	0.0297629659530359	3.20340322731189
SETX	TC0900011803.hg.1	-2.25859316190083	5.99294209480286	-9.13308704520805	2.2786402519101e-05	0.0297629659530359	3.17664883432898
RTN3	TC1100007906.hg.1	-2.56618213653564	7.26144480705261	-9.12536649660913	2.29225952651032e-05	0.0297629659530359	3.1716225034093
THG1L	TC0500009223.hg.1	-2.65255212783813	5.17751806974411	-9.10597501188639	2.32687080057654e-05	0.0297629659530359	3.15897387419026
SURF4	TSUnmapped00000076.hg.1	-2.82204755147298	4.89147081971169	-9.09374932866196	2.34899293257628e-05	0.0297629659530359	3.15098155280294
ATR	TC0300012670.hg.1	-3.37654860814412	6.5069665312767	-9.08789395111754	2.35967152317846e-05	0.0297629659530359	3.1471488238798
TMEM208	TC1600008153.hg.1	-2.71975262959798	9.74712860584259	-9.05611256307099	2.41858944311502e-05	0.0302312785842337	3.12629052502995
KLHL23	TC0200016561.hg.1	-2.93315434455871	5.99842488765717	-8.97693359513764	2.57267809219197e-05	0.0310543562737038	3.07391618374838
ZNF398	TC0700009604.hg.1	-3.25430170694987	5.22143426537514	-8.96858292727319	2.5895604522722e-05	0.0310543562737038	3.06835825603418
NEMF	TC1400009100.hg.1	-2.41909662882487	6.84759175777435	-8.95907119191014	2.60894149951602e-05	0.0310543562737038	3.06201956132547
Y_RNA	TC0300009469.hg.1	3.20372231801351	9.85220408439636	8.95575232646164	2.61574219930661e-05	0.0310543562737038	3.0598058363508
PLAGL2	TC2000008845.hg.1	-3.51199531555176	6.7164055109024	-8.9534252775825	2.62052240859019e-05	0.0310543562737038	3.05825304571317
RP11-488L18.1	TC0100012306.hg.1	-2.69299793243408	5.23938563466072	-8.94804453183402	2.63161302645349e-05	0.0310543562737038	3.05466062991001
BAP1	TC0300011167.hg.1	-3.71559580167134	5.07127937674522	-8.93271620570293	2.66349662803759e-05	0.0310543562737038	3.04441178173168
MOB3A	TC1900009204.hg.1	-3.26871085166931	5.1789478957653	-8.90558169389338	2.72100436062738e-05	0.031188981326012	3.02621446535499
CHID1	TC1100009709.hg.1	-2.01325662930806	4.64060437679291	-8.872077347474	2.7939400882052e-05	0.031188981326012	3.0036486483727
Y10196.1	TC0X00006776.hg.1	-3.04379002253214	6.4127659201622	-8.83192390561644	2.88425081171856e-05	0.031188981326012	2.97646302205946
GTPBP6	TC0X00008886.hg.1	-2.14961369832357	5.52444231510162	-8.81456025061638	2.92431306859294e-05	0.031188981326012	2.96465904687933
PSKH1	TC1600008178.hg.1	-2.23704465230306	4.99178725481033	-8.80896215351932	2.93736183188056e-05	0.031188981326012	2.96084720532896
PSME3	TC1700012262.hg.1	-2.49490690231323	6.91215550899506	-8.80050020142095	2.95721000527293e-05	0.031188981326012	2.95507956414041
LA16c-60G3.8	TC2200007852.hg.1	-3.53144160906474	4.71290159225464	-8.79271107742731	2.97561285159072e-05	0.031188981326012	2.94976439453869
MFSD10	TC0400009790.hg.1	-3.16831715901692	7.72930729389191	-8.78668569714498	2.98993661471083e-05	0.031188981326012	2.9456487412344
MRPL44	TC0200010927.hg.1	-3.53969446818034	5.73240286111832	-8.74220458885115	3.09809995661754e-05	0.031188981326012	2.91515658495212
TMEM167B	TC0100009339.hg.1	6.44400596618653	17.3068032264709	8.73778664249744	3.1090800112511e-05	0.031188981326012	2.91211751412498
ASB7	TC1500008545.hg.1	-2.41225512822469	5.41237795352936	-8.72934451987608	3.13018287834698e-05	0.031188981326012	2.90630493377351
IPP	TC0100014032.hg.1	-1.88549860318502	4.49095833301544	-8.71736305215195	3.16040898785172e-05	0.031188981326012	2.89804345426836
