gene	probeID	logFC	AveExpr	t	P.Value	adj.P.Val	B
COX6C	TC0800011239.hg.1	-5.51623392105102	13.8301440874736	-18.7893742956362	7.7923826194749e-09	0.000916990762502725	8.9385914218652
RPS12	TC0600009488.hg.1	-4.70580625534058	16.8507958253225	-17.5504690198753	1.46549667557771e-08	0.000916990762502725	8.60001197415144
ROMO1	TC2000007227.hg.1	-5.5395302772522	11.845890045166	-14.8109096801639	6.9787999653579e-08	0.00143049840283589	7.66549376533675
RPS14	TC0500013387.hg.1	-3.99100875854492	16.5916864871979	-14.7565901866841	7.21718895805345e-08	0.00143049840283589	7.64386963061066
RPS21P4	TC0400010134.hg.1	-4.70783138275146	12.8725588321686	-13.9862500348048	1.17692214440335e-07	0.00154148926285992	7.32199481255251
RP11-69L16.5	TC0600010735.hg.1	-3.23820638656616	14.7074966430664	-13.9284403327908	1.22212561832564e-07	0.00154148926285992	7.29664541217563
EEF1B2P3	TC0X00009270.hg.1	-3.39760112762451	13.7263402144114	-13.5792110398969	1.53934747678239e-07	0.00168860236609573	7.13976149358511
PET100	TC1900011655.hg.1	-3.9171724319458	13.5266133149465	-13.2437357191453	1.93128357221557e-07	0.0017572229370873	6.98278246948502
RPL21	TC1000012032.hg.1	-4.61543655395508	15.0784542560577	-12.7257341976883	2.77002255272638e-07	0.0017572229370873	6.72760480854169
RPS15AP38	TC2200008604.hg.1	-3.01348209381103	9.45469772815704	-12.6978742631133	2.8253335054176e-07	0.0017572229370873	6.7134216226349
RPL37A	TC0200016595.hg.1	-3.34803247451782	17.2897540728251	-12.6738576894259	2.87398973622331e-07	0.0017572229370873	6.70115641998389
AC107983.4	TC1700007129.hg.1	-3.13606357574463	15.8693873087565	-12.570334595582	3.09453007740419e-07	0.0017572229370873	6.64787498356127
RPL21P120	TC1700007272.hg.1	-3.60771036148071	9.28155438105265	-12.485587219504	3.28895264554209e-07	0.0017572229370873	6.60375349140526
LOC100506844	TC1200010988.hg.1	-3.34677696228027	8.49698893229167	-12.4621000484021	3.34518479562486e-07	0.0017572229370873	6.59144445600614
RP11-40C6.2	TC0900007809.hg.1	-4.66130256652832	11.6891566912333	-12.3646305360718	3.59010402441912e-07	0.0017572229370873	6.53998345335186
