gene	probeID	logFC	AveExpr	t	P.Value	adj.P.Val	B
COX6C	TC0800011239.hg.1	-4.56413459777832	13.8301440874736	-15.5463373237407	4.47729097823207e-08	0.00489861857095244	7.14709292807549
RPS12	TC0600009488.hg.1	-3.76219320297241	16.8507958253225	-14.0312311371974	1.14302223068945e-07	0.00489861857095244	6.65024093438231
RP11-69L16.5	TC0600010735.hg.1	-2.86944723129272	14.7074966430664	-12.3423030462039	3.64894202819794e-07	0.00489861857095244	5.96549497936443
LOC100506844	TC1200010988.hg.1	-3.2297101020813	8.49698893229167	-12.0261884413262	4.60642064909302e-07	0.00489861857095244	5.81890207062858
TXN	TC0900011177.hg.1	-3.15406227111816	17.3270603020986	-12.00251441556	4.68853507627048e-07	0.00489861857095244	5.80766336842944
AC107983.4	TC1700007129.hg.1	-2.98052167892456	15.8693873087565	-11.9468734828093	4.88793404568059e-07	0.00489861857095244	5.78110324163374
RPS21P4	TC0400010134.hg.1	-3.98070192337036	12.8725588321686	-11.8260591528975	5.35376099684039e-07	0.00489861857095244	5.72272034776464
RPS14	TC0500013387.hg.1	-3.18601369857788	16.5916864871979	-11.7801541724044	5.54337209581435e-07	0.00489861857095244	5.70027817457427
RPS15AP38	TC2200008604.hg.1	-2.79449367523193	9.45469772815704	-11.7751253243006	5.56458823454868e-07	0.00489861857095244	5.69781091166574
EEF1B2P3	TC0X00009270.hg.1	-2.94192504882813	13.7263402144114	-11.7580079594356	5.6374758512396e-07	0.00489861857095244	5.68939976946522
PET100	TC1900011655.hg.1	-3.47594118118286	13.5266133149465	-11.7519581225104	5.66348708552364e-07	0.00489861857095244	5.68642218699541
RPL9P3	TC1400006896.hg.1	-3.40332269668579	7.49518195788066	-11.6758715885177	6.0021273347646e-07	0.00489861857095244	5.64875863334243
ROMO1	TC2000007227.hg.1	-4.18119144439697	11.845890045166	-11.1791516137639	8.84302530721076e-07	0.00562333972704233	5.39274471285162
RP11-48B14.1	TC1700006586.hg.1	-3.88650369644165	10.23295545578	-10.9993235117026	1.02127539777445e-06	0.00616073282887893	5.2955451487618
AC016739.2	TC0200015033.hg.1	-3.94715452194214	11.6716852982839	-10.8663245174833	1.13755332006763e-06	0.00657624314136598	5.22204406382719
EEF1B2P1	TC1500007266.hg.1	-3.04708242416382	7.92122880617778	-10.5870821236022	1.431942758331e-06	0.00715828501824249	5.0631116769614
RPS15AP1	TC2000008606.hg.1	-2.75440526008606	8.81132916609446	-10.4055131578923	1.66778180487887e-06	0.00715828501824249	4.95630869446947
TXNDC17	TC1700006702.hg.1	-3.62861967086792	13.3823138872782	-10.32855386638	1.78033834812197e-06	0.00715828501824249	4.91019173247768
RPL21P120	TC1700007272.hg.1	-2.98172235488891	9.28155438105265	-10.3191639006826	1.7946325030477e-06	0.00715828501824249	4.90452984716562
RP11-40C6.2	TC0900007809.hg.1	-3.88517093658447	11.6891566912333	-10.3058538927091	1.81511018643407e-06	0.00715828501824249	4.89649115167984
BOLA3	TC0200013095.hg.1	-2.4810619354248	12.8895239830017	-10.2642732966914	1.8807513830278e-06	0.00715828501824249	4.87127861523451
RPL35AP19	TC0800011643.hg.1	-2.87021124362945	5.54141483704249	-10.1038156903859	2.15958637616921e-06	0.00784389219767198	4.77255349388732
RPL37AP1	TC2000009194.hg.1	-2.4833927154541	13.141522248586	-10.0691790868001	2.22554582273209e-06	0.00784389219767198	4.75094036256697
RPL21	TC1000012032.hg.1	-3.62502384185791	15.0784542560577	-9.99495699539746	2.37445293381544e-06	0.00784389219767198	4.7042593367928
COX5B	TC0200008554.hg.1	-3.17879438400268	12.4021791617076	-9.91929129098362	2.53757759154129e-06	0.00807986049564995	4.65615045483138
AC009413.2	TC0200012355.hg.1	-3.41519546508789	11.8825692335765	-9.90826640861375	2.56235440418464e-06	0.00807986049564995	4.64909654280613
TMED2	TC1200009247.hg.1	2.68878173828125	17.6420084635417	9.4792874693414	3.76671842473045e-06	0.0098606292045137	4.36564887446982
TNRC6A	TC1600007262.hg.1	2.62644529342651	9.76253787676493	9.43660658949516	3.91699340676923e-06	0.00989006919044134	4.33646429525362
CTB-63M22.1	TC0500009339.hg.1	-3.37151432037353	16.5790742238363	-9.31875691469328	4.36712411775903e-06	0.0102625470797702	4.25492640841041
RPS7P11	TC1700010917.hg.1	-3.24815607070922	14.2068827152252	-9.31871709938114	4.3672854508186e-06	0.0102625470797702	4.25489862222238
AC011753.6	TC0200008820.hg.1	-3.17792892456055	8.64302945137024	-9.30141441715831	4.43801812523847e-06	0.0102625470797702	4.24280810406882
RPL30	TC0800011206.hg.1	-2.44866847991943	18.0391476949056	-9.28287070345592	4.51521937384443e-06	0.010269903475804	4.22981626990272
RPL37A	TC0200016595.hg.1	-2.42954730987549	17.2897540728251	-9.19696481125797	4.89256785221344e-06	0.0107476158775227	4.16916640019446
RPL12P42	TC1900009771.hg.1	-2.42761826515198	6.50448568662008	-9.18288651250145	4.9576375088216e-06	0.0107476158775227	4.15915386020794
RP11-715J22.1	TC1600009106.hg.1	-2.71037101745605	11.8103617827098	-9.10771194437435	5.32152089389519e-06	0.0108578590650513	4.10533713589683
UQCRQ	TC0500008653.hg.1	-3.09336566925049	15.0274887084961	-9.03841697283592	5.68295738360586e-06	0.0114272742346144	4.05519941178301
AC092933.3	TC0300010025.hg.1	-4.44287967681885	10.8634450833003	-9.01528856406811	5.80950582192377e-06	0.0115148555037545	4.03835084403252
RP11-447H19.4	TC0500010630.hg.1	-3.16279602050781	10.7355822722117	-8.98083847978933	6.00375552424897e-06	0.0117322684536891	4.01314794892007
RPS18	TC0600007693.hg.1	-2.39769840240479	17.5425916512807	-8.95022234671353	6.1823616577796e-06	0.0117459440484941	3.99064219804115
RPS3AP47	TC1500009207.hg.1	-3.03925895690918	9.64678955078125	-8.94779329060792	6.19677904801123e-06	0.0117459440484941	3.98885225738595
RP11-778D9.4	TC0300009691.hg.1	-3.41361713409424	11.7245726585388	-8.90993321413247	6.42631390073092e-06	0.0117459440484941	3.96087057523518
POMP	TC1300006729.hg.1	-3.09743881225586	13.7083202203115	-8.88741678733195	6.56722487618698e-06	0.0118333716291761	3.9441548134776
RPL21P28	TC0100017230.hg.1	-3.3875789642334	8.63566780090332	-8.77982569648846	7.28887265488533e-06	0.0126209982467788	3.86350940376487
RP11-425L10.1	TC1100010707.hg.1	-3.77892971038818	14.0620617866516	-8.68378621505184	8.00671818931791e-06	0.0129173501764757	3.79043110897167
RP11-343H5.4	TC0100017104.hg.1	-2.68424415588379	8.52776650587718	-8.656539113154	8.22420061282154e-06	0.0131157093566198	3.7695084675884
RPS28	TC1100008612.hg.1	-2.63053798675537	17.374426762263	-8.63860941369379	8.37083249319283e-06	0.0131978540257732	3.75569440972908
RPL12P12	TC2000008562.hg.1	-3.2187991142273	11.1537576516469	-8.61653709594716	8.55528150657087e-06	0.0133045891347197	3.73863820201741
RPS7P1	TC1700007370.hg.1	-2.9784517288208	16.2086889743805	-8.54407457120453	9.19275239298447e-06	0.013776104311746	3.68224967141309
