gene	probeID	logFC	AveExpr	t	P.Value	adj.P.Val	B
RPS15AP38	TC2200008604.hg.1	-4.40932297706604	9.45469772815704	-18.5795126718122	8.64779448239063e-09	0.000483731973381114	9.5535624880152
COX6C	TC0800011239.hg.1	-5.22479391098022	13.8301440874736	-17.7966724790858	1.28836740183252e-08	0.000483731973381114	9.30191232455945
RPS12	TC0600009488.hg.1	-4.75420999526978	16.8507958253225	-17.7309924609136	1.33319077735113e-08	0.000483731973381114	9.27990857374939
ROMO1	TC2000007227.hg.1	-6.10577058792114	11.845890045166	-16.3248528628602	2.85755951131325e-08	0.00066608149582918	8.7726094879349
PET100	TC1900011655.hg.1	-4.67019176483154	13.5266133149465	-15.7896509703644	3.88242489869232e-08	0.00066608149582918	8.55977917269507
RPS15AP1	TC2000008606.hg.1	-4.03620719909668	8.81132916609446	-15.2478677436406	5.34818146880369e-08	0.00066608149582918	8.33205685459919
RPS14	TC0500013387.hg.1	-4.1038293838501	16.5916864871979	-15.1737397929508	5.5923560627679e-08	0.00066608149582918	8.29989170262356
RP11-69L16.5	TC0600010735.hg.1	-3.49659252166748	14.7074966430664	-15.0398320836408	6.06517166708431e-08	0.00066608149582918	8.24115274484167
EEF1B2P3	TC0X00009270.hg.1	-3.74266481399535	13.7263402144114	-14.9583289655819	6.37440518011033e-08	0.00066608149582918	8.20499635257447
RPL37A	TC0200016595.hg.1	-3.84321355819702	17.2897540728251	-14.5483480454221	8.21777208109126e-08	0.000712609242119379	8.01834858893447
AC107983.4	TC1700007129.hg.1	-3.46413564682006	15.8693873087565	-13.885351209652	1.25706140629586e-07	0.000918602713380044	7.69880450247281
LOC100506844	TC1200010988.hg.1	-3.72716379165649	8.49698893229167	-13.8785131461996	1.26270594622357e-07	0.000918602713380044	7.69538932963234
COX5B	TC0200008554.hg.1	-4.41852235794067	12.4021791617076	-13.7878091658603	1.34027765306306e-07	0.000918602713380044	7.6498501161875
RPS21P4	TC0400010134.hg.1	-4.58699893951416	12.8725588321686	-13.627275248744	1.49074971228121e-07	0.000918602713380044	7.56815262817541
UQCRQ	TC0500008653.hg.1	-4.61330413818359	15.0274887084961	-13.4794818594841	1.64584171977176e-07	0.000918602713380044	7.49167514053944
RPL37AP1	TC2000009194.hg.1	-3.3052339553833	13.141522248586	-13.4014215365215	1.73485824652963e-07	0.000925479864202766	7.45078455962156
RPS18P12	TC1700009837.hg.1	-3.82279491424561	13.2586360772451	-13.1884766106907	2.00580747979851e-07	0.000925479864202766	7.33745477562782
CTB-63M22.1	TC0500009339.hg.1	-4.65063858032227	16.5790742238363	-12.8542151419117	2.52989838801075e-07	0.000947659100149097	7.1541514493078
PTTG1	TC0500009281.hg.1	-4.72911977767945	11.9300898710887	-12.8311461254212	2.57127009857772e-07	0.000947659100149097	7.1412507937826
TXN	TC0900011177.hg.1	-3.35345363616943	17.3270603020986	-12.76128121458	2.70117203087009e-07	0.000947659100149097	7.10198024724857
RP11-65N13.6	TC0900011526.hg.1	-4.09770703315735	10.2056859731674	-12.6709997409247	2.87984086175394e-07	0.000947659100149097	7.05078311951256
RP11-234A1.1	TC0300011855.hg.1	-4.31201505661011	13.1416844526927	-12.6434142927622	2.93699530119364e-07	0.000947659100149097	7.03503768459432
RPS18	TC0600007693.hg.1	-3.36558246612549	17.5425916512807	-12.5631778241216	3.11045028503366e-07	0.000964831042668998	6.98896537626812
TXNDC17	TC1700006702.hg.1	-4.41071939468384	13.3823138872782	-12.5547334770917	3.12935061547235e-07	0.000964831042668998	6.98409270729823
RPL34P18	TC0800011124.hg.1	-3.19807052612305	12.6585357189178	-12.3862265648294	3.53418450072372e-07	0.00100071516031207	6.88589711375691
OST4	TC0200012058.hg.1	-4.48038673400879	10.7905621528625	-12.3141790893615	3.72456864736325e-07	0.00100363514872301	6.84334703183819
RPS20P14	TC0300009788.hg.1	-4.042236328125	13.1080137093862	-12.2819041852333	3.81348758649934e-07	0.00100363514872301	6.824174831184
