"ensembl"	"external_gene_name"	"Mia_HighGluc_CONT_Rep1"	"Mia_HighGluc_CONT_Rep2"	"Mia_HighGluc_CONT_Rep3"	"Mia_HighGluc_KO_Rep1"	"Mia_HighGluc_KO_Rep2"	"Mia_HighGluc_KO_Rep3"	"Mia_LowGluc_CONT_Rep1"	"Mia_LowGluc_CONT_Rep2"	"Mia_LowGluc_CONT_Rep3"	"Mia_LowGluc_KO_Rep1"	"Mia_LowGluc_KO_Rep2"	"Mia_LowGluc_KO_Rep3"
"ENSG00000000003"	"TSPAN6"	0.08	0.04	0.02	0	0.01	0.04	0.01	0.01	0	0	0	0
"ENSG00000000005"	"TNMD"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419"	"DPM1"	54.34	56.45	42.1	34.6	32.29	37.11	44.49	49.25	48.89	35.35	37.57	38.91
"ENSG00000000457"	"SCYL3"	1.97	1.76	2.02	2.67	2.45	2.63	3.54	3.63	3.28	2.52	2.56	2.91
"ENSG00000000460"	"C1orf112"	11.27	12.33	10.77	11.02	8.98	10.9	6.17	8.62	11.66	8.03	9.39	8.74
"ENSG00000000938"	"FGR"	0	0	0	0	0	0.01	0	0	0	0	0	0
"ENSG00000000971"	"CFH"	0.04	0	0	0.17	0.11	0.15	0.01	0.02	0.01	0.15	0.16	0.12
"ENSG00000001036"	"FUCA2"	35.48	36.39	29.65	29.93	29.52	30.8	32.14	40.42	44.66	27.04	28.51	28.84
"ENSG00000001084"	"GCLC"	11.05	10.66	10.67	6.26	7.81	7.27	50.47	34.97	13.53	27.72	24.13	28.77
"ENSG00000001167"	"NFYA"	9.75	9.96	8.14	7.43	6.84	8.69	5.04	7.42	7.58	6.02	5.8	7.49
"ENSG00000001460"	"STPG1"	1.11	0.87	0.9	0.78	0.7	0.56	0.9	1.08	1.02	1.06	1.25	1.23
"ENSG00000001461"	"NIPAL3"	1.42	1.25	1.25	1.63	1.54	1.84	1.59	1.92	1.95	1.65	1.85	1.96
"ENSG00000001497"	"LAS1L"	37.06	39.3	33.02	31.38	32.66	30.82	18.75	24.96	28.67	25.02	23.97	27.42
"ENSG00000001561"	"ENPP4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001617"	"SEMA3F"	0.9	0.88	0.72	0.96	1.12	1.27	0.39	0.39	0.58	0.37	0.47	0.38
"ENSG00000001626"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001629"	"ANKIB1"	18.99	16.5	17.15	16.12	16.73	15.53	15.7	19.24	19.91	20.51	21.52	22.16
"ENSG00000001630"	"CYP51A1"	33.48	33.5	28.33	17.59	14.68	19.01	30.67	34.39	33.25	36.45	40.8	40.8
"ENSG00000001631"	"KRIT1"	11.02	11.09	10.45	9.1	8.26	9.13	8.55	9.46	10.67	8.5	8.87	9.43
"ENSG00000002016"	"RAD52"	5.28	6.52	6.52	4.18	3.19	3.07	3.32	4.83	3.17	2.2	2.43	2.38
"ENSG00000002079"	"MYH16"	1.54	1.89	1.67	0.31	0.21	0.24	0.14	0.43	0.3	0.32	0.32	0.48
"ENSG00000002330"	"BAD"	22.61	19.81	17.88	19.66	21.86	22.24	13.97	18.16	17.6	14.44	13.83	15.32
"ENSG00000002549"	"LAP3"	30.09	30.63	25.22	16.91	16.98	17.01	25.48	28.21	28.92	19.16	20.14	21.02
"ENSG00000002586"	"CD99"	73.47	65.76	57.41	51.31	53.06	55.19	40.77	49.83	55.82	30.07	27.47	30.23
"ENSG00000002587"	"HS3ST1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002726"	"AOC1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002745"	"WNT16"	0.03	0.03	0.03	0	0	0	0.01	0.01	0	0.01	0.01	0.01
"ENSG00000002746"	"HECW1"	0.52	0.51	0.46	1.53	1.48	1.64	3.74	3.41	3.2	2.18	2.37	2.54
"ENSG00000002822"	"MAD1L1"	27.38	25.42	24	20.42	22.72	22.86	31.39	33.68	29.82	33.65	35.48	36.12
"ENSG00000002834"	"LASP1"	42.24	41.45	37.82	27.17	27.58	29.54	18.58	23.4	27.98	20.25	20.97	22.52
"ENSG00000002919"	"SNX11"	7.28	7.11	6.1	3.81	3.96	3.82	4.59	5.65	4.58	4.04	4.21	4.99
"ENSG00000002933"	"TMEM176A"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000003056"	"M6PR"	90.78	101.18	80.54	32.58	34.43	33.03	43.93	47.26	51.82	73.34	78.24	80.59
"ENSG00000003096"	"KLHL13"	0.55	0.39	0.41	1.11	1.03	1.24	0.22	0.2	0.33	0.6	0.64	0.71
"ENSG00000003137"	"CYP26B1"	0.07	0.1	0.09	1.24	1.11	1.62	0.76	1.09	1.58	0.62	0.49	0.66
"ENSG00000003147"	"ICA1"	0.09	0.19	0.09	0.9	0.95	1.21	3.03	2.84	2.62	0.8	0.85	0.93
"ENSG00000003249"	"DBNDD1"	12.11	11.23	11.01	11.83	12.33	12.26	9.3	10.81	12.78	9.95	10.2	10.53
"ENSG00000003393"	"ALS2"	6.93	7.27	6.81	3.38	3.58	4.13	4.96	5.34	5.68	6.93	6.68	7.47
"ENSG00000003400"	"CASP10"	3.79	2.98	3.31	1.9	1.83	2.01	2.56	2.51	2.12	0.97	1.28	1.17
"ENSG00000003402"	"CFLAR"	21.47	21.81	20.54	20.8	19.36	20.69	28.7	35.88	38.09	22.37	23.51	25.25
"ENSG00000003436"	"TFPI"	43.24	43.15	35.86	59.58	46.57	65.58	62.65	80.9	84.04	62.81	66.44	69.34
"ENSG00000003509"	"NDUFAF7"	11.8	12.42	11.64	11.83	11.05	11.4	11.37	12.27	10.9	11.32	11.82	11.58
"ENSG00000003756"	"RBM5"	25.83	24.38	23.34	21.48	20.74	22	23.23	22.88	22.18	21.93	21.33	22.67
"ENSG00000003987"	"MTMR7"	0.15	0.15	0.15	0.1	0.05	0.09	0.06	0.05	0.08	0.05	0.09	0.05
"ENSG00000003989"	"SLC7A2"	0.03	0.01	0.02	0.15	0.12	0.19	0.06	0.07	0.08	0.12	0.12	0.17
"ENSG00000004059"	"ARF5"	99.44	89.04	74.96	76.87	84.55	85.58	67.96	89.29	88.23	74.22	74.69	74.64
"ENSG00000004139"	"SARM1"	1.37	1.43	1.33	1.75	1.64	2.19	0.96	1.45	1.23	0.52	0.5	0.45
"ENSG00000004142"	"POLDIP2"	73.05	72.64	60.04	55.64	60.06	59.32	42.62	53.57	56.56	46.78	47.17	48.83
"ENSG00000004399"	"PLXND1"	14.23	14.24	15.76	16.43	17.71	22.34	8.79	11.37	13.81	8.59	8.71	10.55
"ENSG00000004455"	"AK2"	169.04	179.36	142.09	98.15	104.33	103.03	101.85	116.82	117.82	100.26	100.67	103.08
"ENSG00000004468"	"CD38"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004478"	"FKBP4"	167.05	179.86	144.9	55.59	58.75	59.85	72.52	76.77	74.33	70.38	68.55	73.75
"ENSG00000004487"	"KDM1A"	46.23	47.61	41.73	38.41	38.94	39.95	24.16	29.26	34.27	36.49	37.46	39.67
"ENSG00000004534"	"RBM6"	10.96	12.74	10.62	10.29	8.72	9.1	8.93	9.6	10.69	10.12	9.93	10.77
"ENSG00000004660"	"CAMKK1"	2.75	2.64	2.79	3.28	3.21	3.23	2	2.01	1.57	2.38	2.17	2.58
"ENSG00000004700"	"RECQL"	45.13	44.97	42.07	18.58	16.72	18.82	19.31	22.43	26.51	13.62	15.53	16.56
"ENSG00000004766"	"VPS50"	4.75	5.26	4.9	2.6	2.93	3.15	4.11	4.67	5.07	4.34	4.55	4.48
"ENSG00000004776"	"HSPB6"	0.06	0.04	0.24	0.19	0.14	0.06	0.11	0.08	0.08	0.13	0.06	0.06
"ENSG00000004777"	"ARHGAP33"	1.62	1.62	1.54	1.32	1.9	2.26	0.51	1.08	0.57	0.53	0.65	0.71
"ENSG00000004779"	"NDUFAB1"	101.01	100.41	80.39	61.03	62.34	64.69	46.27	56.91	67.04	54.92	55.51	56.54
"ENSG00000004799"	"PDK4"	0.09	0.05	0.08	19.16	13.47	18.19	1.44	1.64	1.98	2	2.31	2.4
"ENSG00000004809"	"SLC22A16"	0	0.01	0	0.01	0	0	0	0.02	0	0	0	0
"ENSG00000004838"	"ZMYND10"	0.26	0.19	0.21	0.16	0.04	0.09	0.1	0.14	0.06	0.03	0.04	0.03
"ENSG00000004846"	"ABCB5"	0.01	0	0	0	0	0	0	0.01	0.02	0	0	0
"ENSG00000004848"	"ARX"	0.02	0.02	0.02	0.09	0.06	0.06	0.05	0.05	0.06	0.03	0.03	0.07
"ENSG00000004864"	"SLC25A13"	19.4	21.05	17.72	17.23	16.12	17.48	11.64	14.55	15.56	27.04	27.76	28.06
"ENSG00000004866"	"ST7"	6.6	7.04	5.78	5.36	5.45	5.42	4.35	5.03	4.86	2.51	2.87	2.83
